inputs snt do_max try_min try_max prune slice backend fallback reallocate prog_len prog_saved prog_regs cpu_time
21 jgamble_batcher False True False False -1 sat True True 413 15 25 690.628868
22 batcher False True False True 0 sat False True 440 16 26 6.535876
22 batcher False True False True 11 sat False True 440 16 26 5.240610
22 batcher False True False True -1 sat False True 440 16 26 4.258634
22 batcher False True False True 1 sat False True 456 0 23 1.608551
22 batcher False True False True -1 z3 False True 440 16 26 18.426766
22 batcher False True False True 2 sat False True 449 7 26 1.856629
22 batcher False True False True 3 sat False True 445 11 26 2.218528
22 batcher False True False True 4 sat False True 443 13 26 3.083912
22 batcher False True False True 5 sat False True 442 14 26 3.783844
22 batcher False True False True 7 sat False True 440 16 26 5.268377
22 jgamble_batcher False True False False -1 sat True True 440 16 26 836.603535
23 batcher False True False True 0 sat False True 471 17 27 7.395669
23 batcher False True False True 11 sat False True 471 17 27 6.681055
23 batcher False True False True -1 sat False True 471 17 27 5.234981
23 batcher False True False True 1 sat False True 488 0 24 1.958428
23 batcher False True False True -1 z3 False True 471 17 27 20.741200
23 batcher False True False True 2 sat False True 481 7 27 2.151508
23 batcher False True False True 3 sat False True 478 10 27 2.540942
23 batcher False True False True 4 sat False True 475 13 27 3.360899
23 batcher False True False True 5 sat False True 474 14 27 4.400101
23 batcher False True False True 7 sat False True 471 17 27 6.108395
23 jgamble_batcher False True False False -1 sat True True 471 17 27 1041.317970
24 batcher False True False True 0 sat False True 491 17 29 8.156438
24 batcher False True False True 12 sat False True 491 17 29 7.117586
24 batcher False True False True -1 sat False True 491 17 29 5.584604
24 batcher False True False True 1 sat False True 508 0 25 2.063817
24 batcher False True False True -1 z3 False True 491 17 29 22.588259
24 batcher False True False True 3 sat False True 499 9 29 2.778710
24 batcher False True False True 4 sat False True 495 13 29 3.609929
24 batcher False True False True 4 sat False True 495 13 29 3.695758
24 batcher False True False True 6 sat False True 491 17 29 5.994032
24 batcher False True False True 8 sat False True 491 17 29 7.323477
24 jgamble_batcher False True False False -1 sat True True 491 17 29 1119.935093
25 batcher False True False True 0 sat False True 535 17 30 9.850069
25 batcher False True False True 12 sat False True 535 17 30 8.690535
25 batcher False True False True -1 sat False True 535 17 30 6.646468
25 batcher False True False True 1 sat False True 552 0 26 2.690879
25 batcher False True False True -1 z3 False True 535 17 30 28.353382
25 batcher False True False True 3 sat False True 544 8 30 3.487153
25 batcher False True False True 4 sat False True 541 11 30 4.123012
25 batcher False True False True 5 sat False True 540 12 30 5.898195
25 batcher False True False True 6 sat False True 537 15 30 6.964171
25 batcher False True False True 8 sat False True 535 17 30 8.622379
25 jgamble_batcher False True False False -1 sat True True 535 17 30 1501.931188
26 batcher False True False True 0 sat False True 567 17 31 10.489655
26 batcher False True False True 13 sat False True 567 17 31 9.556875
26 batcher False True False True -1 sat False True 567 17 31 7.475288
26 batcher False True False True 1 sat False True 584 0 27 3.003399
26 batcher False True False True -1 z3 False True 567 17 31 37.801588
26 batcher False True False True 3 sat False True 577 7 31 3.799754
26 batcher False True False True 4 sat False True 574 10 31 4.814405
26 batcher False True False True 5 sat False True 572 12 31 6.342167
26 batcher False True False True 6 sat False True 569 15 31 7.148306
26 batcher False True False True 8 sat False True 567 17 31 8.808342
26 jgamble_batcher False True False False -1 sat True True 567 17 31 1709.875533
27 batcher False True False True 0 sat False True 603 17 32 13.006847
27 batcher False True False True 13 sat False True 603 17 32 11.273145
27 batcher False True False True -1 sat False True 603 17 32 8.819501
27 batcher False True False True 1 sat False True 620 0 28 3.682646
27 batcher False True False True -1 z3 False True 603 17 32 37.465730
27 batcher False True False True 3 sat False True 613 7 32 4.277100
27 batcher False True False True 4 sat False True 610 10 32 5.294170
27 batcher False True False True 5 sat False True 608 12 32 7.287191
27 batcher False True False True 6 sat False True 605 15 32 8.193190
27 batcher False True False True 9 sat False True 603 17 32 10.924820
27 jgamble_batcher False True False False -1 sat True True 603 17 32 2128.272417
28 batcher False True False True 0 sat False True 627 17 33 13.526668
28 batcher False True False True 14 sat False True 627 17 33 11.411187
28 batcher False True False True -1 sat False True 627 17 33 9.037389
28 batcher False True False True 1 sat False True 644 0 29 3.881201
28 batcher False True False True -1 z3 False True 627 17 33 40.368340
28 batcher False True False True 3 sat False True 637 7 33 4.837443
28 batcher False True False True 4 sat False True 634 10 33 5.912262
28 batcher False True False True 5 sat False True 632 12 33 7.386031
28 batcher False True False True 7 sat False True 627 17 33 11.024795
28 batcher False True False True 9 sat False True 627 17 33 12.245805
28 jgamble_batcher False True False False -1 sat True True 627 17 33 2341.142920
29 batcher False True False True 0 sat False True 667 17 34 15.916053
29 batcher False True False True 14 sat False True 667 17 34 13.668831
29 batcher False True False True -1 sat False True 667 17 34 10.783396
29 batcher False True False True 1 sat False True 684 0 30 4.991064
29 batcher False True False True -1 z3 False True 667 17 34 48.864637
29 batcher False True False True 3 sat False True 677 7 34 5.411530
29 batcher False True False True 4 sat False True 674 10 34 7.530147
29 batcher False True False True 5 sat False True 672 12 34 8.815104
29 batcher False True False True 7 sat False True 667 17 34 11.578466
29 batcher False True False True 9 sat False True 667 17 34 13.718650
29 jgamble_batcher False True False False -1 sat True True 667 17 34 2882.385598
30 batcher False True False True 0 sat False True 695 17 35 17.603678
30 batcher False True False True 10 sat False True 695 17 35 14.448668
30 batcher False True False True 15 sat False True 695 17 35 15.086491
30 batcher False True False True -1 sat False True 695 17 35 11.395007
30 batcher False True False True 1 sat False True 712 0 31 5.224436
30 batcher False True False True -1 z3 False True 695 17 35 55.778442
30 batcher False True False True 3 sat False True 705 7 35 6.138612
30 batcher False True False True 5 sat False True 700 12 35 9.074866
30 batcher False True False True 6 sat False True 697 15 35 11.782880
30 batcher False True False True 7 sat False True 695 17 35 13.054144
30 jgamble_batcher False True False False -1 sat True True 695 17 35 3110.931933
31 batcher False True False True 0 sat False True 727 17 36 18.778359
31 batcher False True False True 10 sat False True 727 17 36 16.471337
31 batcher False True False True 15 sat False True 727 17 36 16.373039
31 batcher False True False True -1 sat False True 727 17 36 12.839743
31 batcher False True False True 1 sat False True 744 0 32 5.788552
31 batcher False True False True -1 z3 False True 727 17 36 61.001380
31 batcher False True False True 3 sat False True 737 7 36 7.174845
31 batcher False True False True 5 sat False True 732 12 36 9.954635
31 batcher False True False True 6 sat False True 730 14 36 12.142548
31 batcher False True False True 7 sat False True 727 17 36 13.986978
31 jgamble_batcher False True False False -1 sat True True 727 17 36 3659.621943
32 batcher False True False True 0 sat False True 747 17 37 20.144110
32 batcher False True False True 10 sat False True 747 17 37 17.871614
32 batcher False True False True 16 sat False True 747 17 37 17.553706
32 batcher False True False True -1 sat False True 747 17 37 14.059532
32 batcher False True False True 1 sat False True 764 0 33 6.496510
32 batcher False True False True -1 z3 False True 747 17 37 64.630324
32 batcher False True False True 2 sat False True 757 7 37 6.815036
32 batcher False True False True 4 sat False True 754 10 37 8.786725
32 batcher False True False True 5 sat False True 752 12 37 10.522368
32 batcher False True False True 6 sat False True 750 14 37 13.294722
32 batcher False True False True 8 sat False True 747 17 37 16.101822
32 jgamble_batcher False True False False -1 sat True True 747 17 37 3772.011652
33 batcher False True False True 0 sat False True 807 21 38 25.560220
33 batcher False True False True 11 sat False True 807 21 38 22.994934
33 batcher False True False True 16 sat False True 807 21 38 22.376282
33 batcher False True False True -1 sat False True 807 21 38 16.957834
33 batcher False True False True 1 sat False True 828 0 34 7.206786
33 batcher False True False True -1 z3 False True 807 21 38 84.012078
33 batcher False True False True 2 sat False True 820 8 37 8.274717
33 batcher False True False True 4 sat False True 815 13 37 10.680835
33 batcher False True False True 5 sat False True 812 16 37 12.994886
33 batcher False True False True 6 sat False True 811 17 37 15.346413
33 batcher False True False True 8 sat False True 807 21 38 20.964969
33 jgamble_batcher False True False False -1 sat True True 807 21 38 5107.368561
